,Speaker,Response,party,IntSpeakerTarget,MatchToTopic,Topics,IntTopicTarget,MatchedWords
96,GEORGE W. BUSH,"something innovative. there’s a lot of talk about trigger locks being on guns sold in the future. i support that. but i said if you want a trigger lock to make your gun safe, come and get one for free. so we’re distributing in our state of texas for free. i think we ought to raise the age at which a juvenile can carry a handgun from 18 to 21. i disagree with the vice president on this issue. he is for registration of guns. i think the only people that are going to show up to register or get a license — i guess licensing like a driver’s license for a gun, the only people that are going to show up are law-abiding citizens. the criminal is not going to show up and say hey, give me my i.d. card. it’s the law-abiding citizens who will do that. an i don’t think that is going to be an effective tool to make the — keep our society",1,3,True,Gun Control,13,"guns, gun, handgun, guns, gun"
98,GORE,"well, i’m not for registration. i am for licensing by states of new handgun purchases. ",0,8,True,Gun Control,13,handgun
101,GORE,"the state. the state. i think states should do that for new handguns, because too many criminals are getting guns. there was a recent investigation of the number in texas who got — who were given concealed weapons permits in spite of the fact that they had records. and the “los angeles times” spent a lot of ink going into that. but i am not for doing anything that would affect hunters or sportsmen, rifles, shotguns, existing handguns. i do think that sensible gun safety measures are warranted now. look, this is the year — this is in the aftermath of columbine, and paducah, and all the places in our country where the nation has been shocked by these weapons in the hands of the wrong people. the woman who bought the guns for the two boys who did that killing at columbine said that if she had had to give her name and fill out a form there, she would not have bought those guns. that conceivably could have prevented that tragedy",0,8,True,Gun Control,13,"guns, gun, guns, guns"
103,GEORGE W. BUSH,"well, i’m not for photo licensing. let me say something about columbine. listen, we’ve got gun laws. he says we ought to have gun-free schools. everybody believes that. i’m sure every state in the union has got them. you can’t carry a gun into a school. and there ought to be a consequence when you do carry a gun into a school. but columbine spoke to a larger issue. it’s really a matter of culture. it’s a culture that somewhere along the line we’ve begun to disrespect life. where a child can walk in and have their heart turned dark as a result of being on the internet and walk in and decide to take somebody else’s life? so gun laws are important, no question about it, but so is loving children, and character education classes, and faith-based programs being a part of after-school programs. some desperate child needs to have somebody put their arm around them and say",1,3,True,Gun Control,13,"gun, gun, gun, gun, gun"
105,GORE,"i also believe in the golden rule. and i agree with a lot of the other things that the governor has said. we do have a serious problem in our culture. tipper and i have worked on the problem of violence in entertainment aimed at children. she’s worked on it longer than i have. but i feel very strongly about that. and if i’m elected president, i will do something about that. but i think that we — i think we have to start with better parenting. but i don’t think that we can ignore the role played by guns. i mean, the fact is that there — even though no state wants them, there are guns in some schools. and the reason it’s so difficult for schools to control that is because in recent years there has been a flood of cheap handguns that are so widely available that kids are finding ways to get ahold of them. and i think that if you look at the situation as it exists here in",0,8,True,Gun Control,13,"guns, guns"
106,GORE,"the united states compared to any other country in the world, it seems to me pretty obvious that while we respect the rights of hunters and sportsmen, we do need some common sense gun safety steps to stem this flood of guns that are getting into the wrong hands.",0,8,True,Gun Control,13,"gun, guns"
107,GEORGE W. BUSH,"yeah, no question about that, but there also needs to be strong enforcement of the law. some kid who feels like — doesn’t matter where the gun comes from, it could be a cheap gun, expensive gun. what matters is something in this person’s head says there is not going to be a consequence. so in my state we toughen up the juvenile justice laws. we added beds. we’re tough. we believe in tough love. we say, if you get caught carrying a gun, you’re automatically detained. and that’s what needs to happen. we’ve got laws. if laws need to be strengthened, like instant background checks, that’s important. ",1,3,True,Gun Control,13,"gun, gun, gun, gun"
108,GEORGE W. BUSH,"well, i’ve got a plan to do something about that. it’s to make health care affordable and available this way. first, there’s some who should be buying health care who choose not to. there’s some — ",1,3,True,Health Care,51,"health care, health care"
109,GEORGE W. BUSH,"some of the healthy folks, healthy young kids say i’ll never get sick, therefore i don’t need health care right now. for those what i think we need to do is to develop an investment-type vehicle that would be an incentive for them to invest, like medical savings accounts with rollover capacity. in other words, you say to a youngster, it will be in your financial interest to start saving for future illness, but for the working folks that do want to have health care that can’t afford it, a couple of things we need to do. one, we need more community health centers. i’ve developed — put out money in my budget to expand community health centers all around the country. these are places where people can get primary care. secondly — and they’re good. they’re very important parts of the safety net of health care. secondly, that you get a $2,000 rebate from the government if you’re a family of $30,000 or",1,3,True,"Economy, Health Care",42,"health care, savings accounts, health care, health care"
110,GEORGE W. BUSH,"less — it scales down as you get higher — that you can use to purchase health care in the private markets. it will be a huge down payment for a pretty darn good system. if you allow — also allow — convince states to — allow states to allow the mother to match some of the children’s health insurance money with it, the pool purchasing power. and to make health care more affordable, allow business associations like the national federal of independent business or the chamber of commerce or the national restaurant association to write association plans across jurisdictional lines so that small businesses have got the capacity to have national pooling to drive the cost of insurance down. i think that’s the very best way to go. it empowers people, it trusts people, it makes — and it’s a practical way to encourage people to purchase health care insurance.",1,3,True,"Economy, Health Care",42,"health care, health insurance, health care, small businesses, businesses, health care"
111,GORE,"it’s one of my top priorities, jim, to give every single child in the united states affordable health care within the next four years. i would like to see eventually in this country some form of universal health care, but i’m not for a government-run system. in fact, i’m for shrinking the size of government. i want a smaller and smarter government. i have been in charge of this reinventing government streamlining project that’s reduced the size of government by more than 300,000 people in the last several years. and the budget plan that i’ve put out, according to the “los angeles times” again, the way these things are typically measured as a percentage of the gdp, will bring government spending down to the lowest level in 50 years. so i want to proceed carefully to cover more people. but i think we should start by greatly expanding the so-called child health insurance or chip program to give health insurance to every single child in this country",0,8,True,"Economy, Health Care",42,"health care, health care, gdp, health insurance, health insurance"
112,GORE,". i think it’s intolerable that we have so many millions of children without any health insurance. so it’s one of my top priorities. now, i know that we have some disagreements on this. and i’m sorry to tell you that, you know, there is a record here. and texas ranks 49th out of the 50 states in health care — in children with health care. 49th for women with health care, and 50th for families with health care. so it is a priority for me. i guarantee you. i’m not aware of any program — well, i’ll just leave it at that. i think it ought to be a top priority.",0,8,True,Health Care,51,"health insurance, health care, health care, health care, health care"
113,GEORGE W. BUSH,"first of all, let me say he’s not for a government-run health care system? i thought that’s exactly what he and mrs. clinton and them fought for in 1993 was a government-run health care system. it was fortunately stopped in its tracks. secondly, we spend $4.7 billion a year on the uninsured in the state of texas. our rate of uninsured, the percentage of uninsured in texas has gone down, while the percentage of uninsured in america has gone up. our chips program got a late start because our government meets only four months out of every two years, mr. vice president. it may come as a shock for somebody who has been in washington for so long. but actually limited government can work in the second largest state in the union. and therefore congress passes the bill after our session in 1997 ended, we passed an enabling legislation in 1999. we’ve signed up over 110,000 children to the chips program. for comparable states our size",1,3,True,Health Care,51,"health care, health care"
114,GEORGE W. BUSH,", we’re signing them up as fast as any other state. you can quote all the numbers you want, but i’m telling you we care about our people in texas. we spent a lot of money to make sure people get health care in the state of texas, and we’re doing a better job than they are at the national level for reducing uninsured.",1,3,True,Health Care,51,health care
115,GORE,"well, i don’t know about all these percentages that he throws out, but i do know that — i speculate that the reason why he didn’t answer your question directly as to whether my numbers were right, the facts were right about texas ranking dead last in families with health insurance and 49th out of 50 for both children and women, is because those facts are correct. and as for why it happened, i’m no expert on the texas procedures, but what my friends there tell me is that the governor opposed a measure put forward by democrats in the legislature to expand the number of children that would be covered. and instead directed the money toward a tax cut, a significant part of which went to wealthy interests. he declared the need for a new tax cut for the oil companies in texas an emergency need, and so the money was taken away from the chip program. there’s — you don’t have to take my word for this. there is now a federal",0,8,True,"Health Care, Oil Industry",68,"health insurance, oil"
116,GORE,"judge’s opinion about the current management of this program ordering the state of texas to do — you should read that judge’s language about this. i believe there are 1.4 million children in texas who do not have health insurance. 600,000 of whom, and maybe some of those have since gotten it, but as of a year ago 600,000 of them were actually eligible for it but they couldn’t sign up for it because of the barriers that they had set up.",0,8,True,Health Care,51,health insurance
117,GEORGE W. BUSH,"if he’s trying to allege that i’m a hard-hearted person and i don’t care about children, he’s absolutely wrong. we’ve spent $4.7 billion a year in the state of texas for uninsured people. and they get health care. now, it’s not the most efficient way to get people health care. but i want to remind you, the number of uninsured in america during their watch has increased. he can make any excuse he wants, but the facts are that we’re reducing the number of uninsured percentage of our population. and as the percentage of the population is increasing nationally, somehow the allegation that we don’t care and we’re going to give money for this interest or that interest and not for children in the state of texas is totally absurd. let me just tell you who the jury is. the people of texas. there’s only been one governor ever elected to back-to-back four-year terms, and that was me",1,3,True,Health Care,51,"health care, health care"
118,GEORGE W. BUSH,". and i was able to do so with a lot of democrat votes, nearly 50% of the hispanic vote, about 27% of the african-american vote, because people know i’m a conservative person and a compassionate person. so he can throw all the kinds of numbers around. i’m just telling you our state comes together to do what is right. we come together both republicans and democrats.",1,3,True,Race,3,hispanic
119,GORE,"yes, yes. but it’s not a statement about his heart. i don’t claim to know his heart. i think he’s a good person. i make no allegations about that. i believe him when he says that he has a good heart. i know enough about your story to admire a lot of the things that you have done as a person. but i think it’s about his priorities. and let me tell you exactly why i think that the choice he made to give a tax cut for the oil companies and others before addressing this — i mean, if you were the governor of a state that was dead last in health care for families, and all of a sudden you found yourself with the biggest surplus your state had ever had in its history, wouldn’t you want to maybe use some of it to climb from 50th to, say, 45 or 40 or something or maybe better? i would. now, but here is why it’s directly relevant",0,8,True,"Health Care, Federal Spending, Oil Industry",56,"oil, health care, surplus"
120,GORE,", jim. because by his own budget numbers, his proposals for spending on tax cuts for the wealthiest of the wealthy are more than the new spending proposals that he has made for health care and education and national defense all combined. according to his own numbers. so it’s not a question of his heart, as far as i know. it’s a question of priorities and values. see, you know —",0,8,True,"Taxes, Health Care",52,"tax cuts, health care"
124,GORE,"i do. i think that in this 21st century we will soon see the consequences of what’s called global warming. there was a study just a few weeks ago suggesting that in summertime the north polar ice cap will be completely gone in 50 years. already many people see the strange weather conditions that the old timers say they’ve never seen before in their lifetimes. and what’s happening is the level of pollution is increasing significantly. now, here is the good news, jim. if we take the leadership role and build the new technologies, like the new kinds of cars and trucks that detroit is itching to build, then we can create millions of good new jobs by being first into the market with these new kinds of cars and trucks and other kinds of technologies. you know the japanese are breathing down our necks on this. they’re moving very rapidly because they know that it is a fast-growing world market. some of these other countries, particularly in the developing world,",0,8,True,"Economy, Climate Change",44,"global warming, jobs"
125,GORE,"their pollution is much worse than anywhere else and their people want higher standards of living. and so they’re looking for ways to satisfy their desire for a better life and still reduce pollution at the same time. i think that holding onto the old ways and the old argument that the environment and the economy are in conflict is really outdated. we have to be bold. we have to provide leadership. now it’s true that we disagree on this. the governor said that he doesn’t think this problem is necessarily caused by people. he’s for letting the oil companies into the arctic national wildlife refuge. houston has just become the smoggiest city in the country. and texas is number one in industrial pollution. we have a very different outlook. and i’ll tell you this, i will fight for a clean environment in ways that strengthen our economy.",0,8,True,"Economy, Oil Industry",34,"economy, oil, economy"
129,GORE,"i’m really strongly committed to clean water and clean air, and cleaning up the new kinds of challenges like global warming. he is right that i’m not in favor of energy taxes. i am in favor of tax cuts to encourage and give incentives for the quicker development of these new kinds of technologies. and let me say again, detroit is rearing to go on that. we differ on the arctic national wildlife refuge, as i have said. we differ on whether or not pollution controls ought to be voluntary. i don’t think you can — i don’t think you can get results that way. we differ on the kinds of appointments that we would make. ",0,8,True,"Taxes, Climate Change",20,"global warming, tax cuts"
135,GEORGE W. BUSH,"i think it’s an issue that we need to take very seriously. but i don’t think we know the solution to global warming yet. and i don’t think we’ve got all the facts before we make decisions. i tell you one thing i’m not going to do is i’m not going to let the united states carry the burden for cleaning up the world’s air. like kyoto treaty would have done. china and india were exempted from that treaty. i think we need to be more even-handed, as evidently 99 senators — i think it was 99 senators supported that position. ",1,3,True,Climate Change,40,global warming
137,GORE,"well, that vote wasn’t exactly — a lot of the supporters of the kyoto treaty actually ended up voting for that because the way it was worded. but there’s no doubt there’s a lot of opposition to it in the senate. i’m not for command and control techniques either. i’m for working with the groups, not just with industry but also with the citizen groups and local communities to control sprawl in ways that the local communities themselves come up with. but i disagree that we don’t know the cause of global warming. i think that we do. it’s pollution, carbon dioxide, and other chemicals that are even more potent, but in smaller quantities, that cause this. look, the world’s temperature is going up, weather patterns are changing, storms are getting more violent and unpredictable. what are we going to tell our children? i’m a grandfather now. i want to be able to tell my grandson when i’m in my later years that",0,8,True,Climate Change,40,global warming
139,GEORGE W. BUSH,"yeah, i agree. i just — i think there has been — some of the scientists, i believe, mr. vice president, haven’t they been changing their opinion a little bit on global warming? a profound scientist recently made a different — ",1,3,True,Climate Change,40,global warming
145,GEORGE W. BUSH,"what the heck. i — of course there’s a lot — look, global warming needs to be taken very seriously, and i take it seriously. but science, there’s a lot — there’s differing opinions. and before we react, i think it’s best to have the full accounting, full understanding of what’s taking place. and i think to answer your question, i think both of us care a lot about the environment. we may have different approaches. we may have different approaches in terms of how we deal with local folks. i just cited an example of the administration just unilaterally acting without any input. and i remember you gave a very good answer to new hampshire about the white mountains, about how it was important to keep that collaborative effort in place. i feel very strongly the same place. it certainly wasn’t the attitude that took place out west, however. ",1,3,True,Climate Change,40,global warming
147,GEORGE W. BUSH,"the earned income tax credit, sorry. ",1,3,True,Taxes,12,"income tax, tax credit"
163,GORE,"jim, one of the issues that i would like to close with in my statement is education, because it’s an example of the overall approach that i think is important. this race is about values, it’s about change, it’s about giving choices to the american people. and education is my number one priority, because i think that it’s the most important big major change that we can bring in our country. i agree with governor bush that we should have new accountability, testing of students. i think that we should require states to test all students, test schools and school districts, and i think that we should go further and require teacher testing for new teachers also. the difference is that while my plan starts with new accountability and maintains local control, it doesn’t stop there. because i want to give new choices to parents. to send their kids to college with a $10,000 tax deduction for college tuition per child per year. i want to reduce the size",0,8,True,Public Education,26,school districts
164,GORE,"of the classrooms in this country. for one basic reason, so that students can get more one-on-one time with teachers. and the way to do that is first to recruit more teachers. i’ve a plan in my budget to recruit 100,000 new, highly qualified teachers and to help local school districts build new schools. i think that we have to put more emphasis on early learning and pre-school. now, here is how that connects with all the rest of what we’ve been talking about. if you have — if you squander the surplus on a huge tax cut that goes mostly to those at the top, then you can’t make education the top priority. if the tax cut is your number one, two, three and four priority, you can’t do education. you can’t do both. you have to choose. i choose education and health care, the environment and retirement security, and i ask for your support.",0,8,True,"Public Education, Federal Spending, Health Care",49,"school districts, surplus, health care"
166,GEORGE W. BUSH,"for our military. once and for all, i want to do something about medicare. this issue has been too long on the table because it’s been a political issue. it’s time to bring folks together to say that all seniors will get prescription drug coverage. i want to do something about social security. it’s an important priority, because now is the time to act and we’re going to say to our seniors, our promises we’ve made to you will be promises kept. but younger workers, in order to make sure the system exists tomorrow, younger workers ought to be able to take some of your own money and invest it in safe securities to get a better rate of return on that money. and finally, i do believe in tax relief. i believe we can set our priorities. i don’t believe, like the vice president does, in huge government. i believe in limited government. by having a limited government and a focused government, we can send",1,3,True,Social Welfare,19,social security
171,OBAMA,"well, first of all, i want to thank hofstra university and the people of new york for hosting us tonight and it’s wonderful to join senator mccain again, and thank you, bob. i think everybody understands at this point that we are experiencing the worst financial crisis since the great depression. and the financial rescue plan that senator mccain and i supported is an important first step. and i pushed for some core principles: making sure that taxpayer can get their money back if they’re putting money up. making sure that ceos are not enriching themselves through this process. and i think that it’s going to take some time to work itself out. but what we haven’t yet seen is a rescue package for the middle class. because the fundamentals of the economy were weak even before this latest crisis. so i’ve proposed four specific things that i think can help. number one, let’s focus on jobs. i want to end the tax breaks for companies that are shipping jobs",0,7,True,Economy,28,"financial crisis, financial rescue, economy, jobs, jobs"
172,OBAMA,"overseas and provide a tax credit for every company that’s creating a job right here in america. number two, let’s help families right away by providing them a tax cut — a middle-class tax cut for people making less than $200,000, and let’s allow them to access their ira accounts without penalty if they’re experiencing a crisis. now senator mccain and i agree with your idea that we’ve got to help homeowners. that’s why we included in the financial package a proposal to get homeowners in a position where they can renegotiate their mortgages. i disagree with senator mccain in how to do it, because the way senator mccain has designed his plan, it could be a giveaway to banks if we’re buying full price for mortgages that now are worth a lot less. and we don’t want to waste taxpayer money. and we’ve got to get the financial package working much quicker than it has been working. last point i want to make, though. we’ve",0,7,True,Taxes,12,tax credit
173,OBAMA,got some long-term challenges in this economy that have to be dealt with. we’ve got to fix our energy policy that’s giving our wealth away. we’ve got to fix our health care system and we’ve got to invest in our education system for every young person to be able to learn.,0,7,True,"Economy, Climate Change, Health Care",54,"economy, energy policy, health care"
174,MCCAIN,"no. i would like to mention that a couple days ago senator obama was out in ohio and he had an encounter with a guy who’s a plumber, his name is joe wurzelbacher. joe wants to buy the business that he has been in for all of these years, worked 10, 12 hours a day. and he wanted to buy the business but he looked at your tax plan and he saw that he was going to pay much higher taxes. you were going to put him in a higher tax bracket which was going to increase his taxes, which was going to cause him not to be able to employ people, which joe was trying to realize the american dream. now senator obama talks about the very, very rich. joe, i want to tell you, i’ll not only help you buy that business that you worked your whole life for and be able — and i’ll keep your taxes low and i’ll provide available and affordable health care for you and your employees",1,1,True,Health Care,51,health care
175,MCCAIN,. and i will not have — i will not stand for a tax increase on small business income. fifty percent of small business income taxes are paid by small businesses. that’s 16 million jobs in america. and what you want to do to joe the plumber and millions more like him is have their taxes increased and not be able to realize the american dream of owning their own business.,1,1,True,Economy,28,"small businesses, businesses, jobs"
