,Unnamed: 0,Speaker,Response,party,IntSpeakerTarget,MatchToTopic,PartyClassifier
17,21,GEORGE W. BUSH,"no, of course not, absolutely not, i want them to be tougher. ",1,3,False,0.9935411214828491
18,22,GEORGE W. BUSH,"i think it’s a triumph. i thought the president made the right decision in joining nato and bombing serbia. i supported them when they did so. i called upon the congress not to hamstring the administration, and in terms of forcing troop withdrawals on a timetable that wasn’t necessarily in our best interest or fit our nation’s strategy, and so i think it’s good public policy, i think it worked, and i’m pleased i took — made the decision i made. i’m pleased the president made the decision he made. because freedom took hold in that part of the world, but there’s a lot of work left to be done, however. ",1,3,False,0.013035284355282784
19,23,GEORGE W. BUSH,"yes, i think it is. absolutely. i don’t think he would have fallen had we not used the force. and i know there are some in our party that disagree with that sentiment. i supported the president. i thought he made the right decision to do so. i didn’t think he necessarily made the right decision to take land troops off the table right before we committed ourselves offensively, but nevertheless, it worked. the administration deserves credit for having made it work. it is important for nato to have it work. it’s important for nato to be strong and confident and to help keep the peace in europe. and one of the reasons i felt so strongly that the united states needed to participate was because of our relations with nato, and nato is going to be an important part of keeping the peace in the future. now, there’s more work to do. remains to be seen, however, whether or not there’s going to be a political settlement",1,3,False,0.00064785749418661
20,24,GEORGE W. BUSH,"in kosovo, and i certainly hope there is one. iâ€™m on record as saying at some point in time i hope our european friends become the peacekeepers in bosnia and in the balkans. i hope that they put the troops on the ground so that we can withdraw our troops and focus our military on fighting and winning war.",1,3,False,0.8075705170631409
21,25,GORE,"well, i’ve been kind of a hard-liner on this issue for more than eight years. when i was in the senate before i became vice president i was pushing for stronger action against milosevic. he caused the death of so many people. he was the last communist party boss there and then he became a dictator that by some other label he was still essentially a communist dictator. and unfortunately now he is trying to reassert himself in serbian politics. already just today the members of his political party said that they were going to ignore the orders of the new president of serbia, and that they question his legitimacy, and he’s still going to try to be actively involved. he is an indicted war criminal. he should be held accountable. now, i did want to pick up on one of the statements earlier, and maybe i have heard, maybe i have heard the previous statements wrong, governor. in some of the discussions we’ve had about when it’s appropriate for",0,8,False,0.0031527727842330933
22,26,GORE,"the u.s. to use force around the world, at times the standards that you’ve laid down have given me the impression that if it’s something like a genocide taking place or what they called ethnic cleansing in bosnia, that that alone would not be, that that wouldn’t be the kind of situation that would cause you to think that the u.s. ought to get involved with troops. now, have to be other factors involved for me to want to be involved. but by itself, that to me can bring into play a fundamental american strategic interest because i think it’s based on our values. now, have i got that wrong?",0,8,False,0.0005533648654818535
23,27,GEORGE W. BUSH,"trying to figure out who the questioner was. if i think it’s in our nation’s strategic interest i’ll commit troops. i thought it was in our strategic interests to keep milosevic in check because of our relations in nato, and that’s why i took the position i took. i think it’s important for nato to be strong and confident. i felt like unchecked milosevic would harm nato, and so it depends on the situation, mr. vice president. ",1,3,False,0.9903942942619324
24,28,GORE,can you run through the list again? ,0,8,False,0.08895162492990494
25,29,GORE,i thought that was a mistake. ,0,8,False,0.6227037906646729
26,30,GORE,i supported that. ,0,8,False,0.5931257009506226
27,31,GORE,i supported that. ,0,8,False,0.5931257009506226
28,32,GORE,"yes, i voted for it, supported it. ",0,8,False,0.8413755893707275
29,33,GORE,"of course, and that again — no, i think that that was ill-considered. i did support it at the time. it was in the previous administration, in the bush-quayle administration, and i think in retrospect the lessons there are ones that we should take very, very seriously. ",0,8,False,0.7661296725273132
30,34,GORE,"oh, yes. ",0,8,False,0.15934601426124573
31,35,GORE,yes. ,0,8,False,0.10624617338180542
32,36,GORE,yes. ,0,8,False,0.10624617338180542
33,37,GEORGE W. BUSH,make a couple comments. ,1,3,False,0.01591118425130844
34,38,GEORGE W. BUSH,"started off as a humanitarian mission and it changed into a nation-building mission, and that’s where the mission went wrong. the mission was changed. and as a result, our nation paid a price. and so i don’t think our troops ought to be used for what’s called nation-building. i think our troops ought to be used to fight and win war. i think our troops ought to be used to help overthrow the dictator when it’s in our best interests. but in this case it was a nation-building exercise, and same with haiti. i wouldn’t have supported either. ",1,3,False,0.8491274118423462
35,39,GEORGE W. BUSH,yes. ,1,3,False,0.10624617338180542
36,40,GEORGE W. BUSH,yes. ,1,3,False,0.10624617338180542
37,41,GEORGE W. BUSH,"yes. some of them i’ve got a conflict of interest on, if you know what i mean. ",1,3,False,0.9757768511772156
38,42,GEORGE W. BUSH,"i think the administration did the right thing in that case. i do. it was a horrible situation, no one liked to see it on our tv screens, but it’s a case where we need to make sure we have an early warning system in place in places where there could be ethnic cleansing and genocide the way we saw it there in rwanda. and that’s a case where we need to use our influence to have countries in africa come together and help deal with the situation. the administration, seems like we’re having a great love fest tonight, but the administration made the right decision on training nigerian troops for situations just such as this in rwanda, and so i thought they made the right decision not to send u.s. troops into rwanda. ",1,3,False,0.005430944263935089
39,45,GEORGE W. BUSH,"well, i understand, and africa is important. and we’ve got to do a lot of work in africa to promote democracy and trade, and there are some — vice president mentioned nigeria is a fledgling democracy. we have to work with nigeria. itâ€™s an important continent. but there’s got to be priorities, and middle east is a priority for a lot of reasons, as is europe and the far east, our own hemisphere. and those are my four top priorities should i be the president, not to say we won’t be engaged nor work hard to get other nations to come together to prevent atrocity. i thought the best example of a way to handle the situation was east timor when we provided logistical support to the australians, support that only we can provide. i thought that was a good model. but we can’t be all things to all people in the world, jim. and i think that’s where maybe the vice president and i begin to",1,3,False,0.998820960521698
40,46,GEORGE W. BUSH,"have some differences. i’m worried about overcommitting our military around the world. i want to be judicious in its use. you mentioned haiti. i wouldn’t have sent troops to haiti. i didn’t think it was a mission worthwhile. it was a nation building mission, and it was not very successful. it cost us billions, a couple billions of dollars, and i’m not so sure democracy is any better off in haiti than it was before.",1,3,False,0.9932287931442261
41,47,GORE,"i don’t think we agree on that. i would certainly also be judicious in evaluating any potential use of american troops overseas. i think we have to be very reticent about that. but look, jim, the world is changing so rapidly. the way i see it, the world is getting much closer together. like it or not, we are now — the united states is now the natural leader of the world. all these other countries are looking to us. now, just because we cannot be involved everywhere, and shouldn’t be, doesn’t mean that we should shy away from going in anywhere. now, both of us are kind of, i guess, stating the other’s position in a maximalist extreme way, but i think there is a difference here. this idea of nation building is kind of a pejorative phrase, but think about the great conflict of the past century, world war ii. during the years between world war i and world war ii,",0,8,False,0.3473164439201355
42,48,GORE,"a great lesson was learned by our military leaders and the people of the united states. the lesson was that in the aftermath of world war i, we kind of turned our backs and left them to their own devices and they brewed up a lot of trouble that quickly became world war ii. and acting upon that lesson in the aftermath of our great victory in world war ii, we laid down the marshall plan, president truman did. we got intimately involved in building nato and other structures there. we still have lots of troops in europe. and what did we do in the late ’40’s and ’50’s and ’60’s? we were nation building. and it was economic. but it was also military. and the confidence that those countries recovering from the wounds of war had by having troops there. we had civil administrators come in to set up their ways of building their towns back.",0,8,False,0.009125740267336369
43,49,GEORGE W. BUSH,"first let me just say one comment about what the vice president said. i think one of the lessons in between world war i and world war ii is we let our military atrophy. and we can’t do that. we’ve got to rebuild our military. but one of the problems we have in the military is we’re in a lot of places around the world. and i mentioned one, and that’s the balkans. i would very much like to get our troops out of there. i recognize we can’t do it now, nor do i advocate an immediate withdrawal. that would be an abrogation of our agreement with nato. no one is suggesting that. but i think it ought to be one of our priorities to work with our european friends to convince them to put troops on the ground. and there is an example. haiti is another example. now there are some places where i think — you know, i’ve supported the administration in columbia. i think it",1,3,False,0.0174101609736681
44,50,GEORGE W. BUSH,’s important for us to be training columbians in that part of the world. the hemisphere is in our interest to have a peaceful columbia. but —,1,3,False,0.9938773512840271
45,51,GEORGE W. BUSH,"i don’t think so. i think what we need to do is convince people who live in the lands they live in to build the nations. maybe i’m missing something here. i mean, we’re going to have kind of a nation building core from america? absolutely not. our military is meant to fight and win war. that’s what it’s meant to do. and when it gets overextended, morale drops. i strongly believe we need to have a military presence in the korean peninsula, not only to keep the peace in the peninsula, but to keep regional stability. and i strongly believe we need to keep a presence in nato, but i’m going to be judicious as to how to use the military. it needs to be in our vital interest, the mission needs to be clear, and the extra strategy obvious. ",1,3,False,0.9762929677963257
46,52,GORE,"i don’t disagree with that. i certainly don’t disagree that we ought to get our troops home from places like the balkans as soon as we can, as soon as the mission is complete. that’s what we did in haiti. there are no more than a handful of american military personnel in haiti now. and haitians have their problems, but we gave them a chance to restore democracy. that’s really about all we can do. but if you have a situation like that right in our backyard with chaos about to break out and flotillas forming to come across the water, and all kinds of violence there, right in one of our neighboring countries there, then i think that we did the right thing there. and as for this idea of nation building, the phrase sounds grandiose. and, you know, we can’t be — we can’t allow ourselves to get overextended. i certainly agree with that. and that’s why i’ve supported building up our capacity.",0,8,False,0.0005680201575160027
47,53,GORE,"i’ve devoted in the budget i’ve proposed, as i said last week, more than twice as much as the governor has proposed. i think that it’s in better shape now than he generally does. we’ve had some disagreements about that. he said that two divisions would have to report not ready for duty, and that’s not what the joint chiefs say. but there’s no doubt that we have to continue building up readiness and military strength. and we have to also be very cautious in the way we use our military.",0,8,False,0.0001576175563968718
48,54,GEORGE W. BUSH,"well, i mentioned third world debt. ",1,3,False,0.293788343667984
49,55,GEORGE W. BUSH,"that’s a place where we can use our generosity to influence in a positive way, influence nations. i believe we ought to have foreign aid, but i don’t think we ought to just have foreign aid for the sake of foreign aid. i think foreign aid needs to be used to encourage markets and reform. i think a lot of times we just spend aid and say we feel better about it and it ends up being spent the wrong way, and there’s some pretty egregious examples recently. one being russia, where we had imf loans that ended up in the pockets of a lot of powerful people and didn’t help the nation. i think the imf has got a role in the world, but i don’t want to see the imf out there as a way to say to world bankers, if you make a bad loan, we’ll bail you out. it needs to be available for emergency situations. i thought the president did the right thing with mexico and was",1,3,False,0.01569037325680256
50,56,GEORGE W. BUSH,very strongly supportive of the administration in mexico. but i don’t think the imf ought to be a stop loss for people who ought to be able to evaluate risks themselves. so i’ll look at every place where we’re investing money. i just want to make sure the return is good.,1,3,False,0.9658437371253967
51,57,GORE,"no, i would make some changes. i think there need to be reforms in the imf. i’ve generally supported it, but i’ve seen them make some calls that i thought were highly questionable. and i think that there’s a general agreement in many parts of the world now that there ought to be changes in the imf. the world bank i think is generally doing a better job, but i think one of the big issues here that doesn’t get nearly enough attention is the issue of corruption. the governor mentioned it earlier. i’ve worked on this issue. it’s an enormous problem and corruption in official agencies, like militaries and police departments around the world, customs officials, that’s one of the worst forms of it. and we have got to again lead by example and help these other countries that are trying to straighten out their situations find the tools in order to do it. i just think, jim, that this is an absolutely unique period in world",0,8,False,0.0003557742456905544
52,59,GEORGE W. BUSH,"let me comment on that. i’m not so sure the role of the united states is to go around the world and say this is the way it’s got to be. we can help. and maybe it’s just our difference in government, the way we view government. i want to empower the people. i want to help people help themselves, not have government tell people what to do. i just don’t think it’s the role of the united states to walk into a country and say, â€œwe do it this way, so should you.â€ i think we can help. i know we’ve got to encourage democracy in the marketplaces. but take russia, for example. we went into russia, we said here is some imf money, and it ended up in viktor chemomyrdin’s pocket, and others, and yet we played like there was reform. the only people that are going to reform russia are russia. they’re going to have to make the decision themselves.",1,3,False,0.999226450920105
53,61,GEORGE W. BUSH,"and must be proud and confident of our values, but humble in how we treat nations that are figuring out how to chart their own course.",1,3,False,0.0007888554246164858
54,62,GORE,far be it from me to suggest otherwise. (laughter) ,0,8,False,0.003239639801904559
55,67,GEORGE W. BUSH,yeah. ,1,3,False,0.12896974384784698
56,69,GORE,to stigmatize and dehumanize a whole group of people.,0,8,False,0.020541412755846977
57,70,GEORGE W. BUSH,"no, i don’t, really. ",1,3,False,0.6438684463500977
58,72,GEORGE W. BUSH,"as sure as i’m sitting here, that most americans really care. they’re tolerant people. they’re good, tolerant people. it’s the very few that create most of the crises, and we just have to find them and deal with them.",1,3,False,0.08626234531402588
59,74,GEORGE W. BUSH,"is to measure. because when you measure you can ask the question, do they know? is anybody being profiled? is anybody being discriminated against? it becomes a tool, a corrective tool. and i believe the federal government must say that if you receive any money, any money from the federal government for disadvantaged children, for example, you must show us whether or not the children are learning. and if they are, fine. and if they’re not, there has to be a consequence. and so to make sure we end up getting rid of basic structural prejudice is education. there is nothing more prejudiced than not educating a child.",1,3,False,0.9987552165985107
60,78,GORE,i’m talking about the one that was proposed to deal — ,0,8,False,0.8501868844032288
61,81,GORE,may i respond? ,0,8,False,0.03118714690208435
62,83,GORE,absolutely. ,0,8,False,0.06446337699890137
63,84,GEORGE W. BUSH,"i would support the orrin hatch version of it, not the senator kennedy version. but let me say to you, mr. vice president, we’re happy with our laws on our books. that bill did — there was another bill that did die in committee. but i want to repeat, if you have a state that fully supports the law like we do in texas, we’re going to go after all crime. and we’re going to make sure people get punished for the crime. and in this case we can’t enhance the penalty any more than putting those three thugs to death. and that’s what’s gonna happen in the state of texas. ",1,3,False,0.9972398281097412
64,85,GEORGE W. BUSH,"i’m not for gay marriage. i think marriage is a sacred institution between a man and a woman. and i appreciated the way the administration signed the defense of marriage act. i presume the vice president supported it when the president signed that bill and supports it now. but i think marriage is a sacred institution. i’m going to be respectful for people who may disagree with me. i’ve had a record of doing so in the state of texas. i’ve been a person that had been called a uniter, not a divider, because i accept other people’s points of view. but i feel strongly that marriage should be between a man and a woman. ",1,3,False,0.8555589318275452
65,86,GORE,"i agree with that, and i did support that law. but i think that we should find a way to allow some kind of civic unions, and i basically agree with dick cheney and joe lieberman. and i think the three of us have one view and the governor has another view. ",0,8,False,0.00012095709098502994
66,87,GEORGE W. BUSH,"i’m not sure what kind of view he’s describing to me. i can just tell you, i’m a person who respects other people. i respect their — i respect — on the one hand he says he agrees with me and then he says he doesn’t. i’m not sure where he’s coming from. but i will be a tolerant person. i’ve been a tolerant person all my life. i just happen to believe strongly that marriage is between a man and a woman. ",1,3,False,0.9971098303794861
67,88,GEORGE W. BUSH,"yes. i don’t think they ought to have special rights, but i think they ought to have the same rights. ",1,3,False,0.966375470161438
68,90,GEORGE W. BUSH,the question — ,1,3,False,0.4865180253982544
69,91,GEORGE W. BUSH,"well, i have no idea. i mean, he can throw out all kinds — i don’t know the particulars of this law. i will tell you i’m the kind of person, i don’t hire or fire somebody based upon their sexual orientation. as a matter of fact, i would like to take the issue a little further. i don’t really think it’s any of my — you know, any of my concerns what — how you conduct your sex life. and i think that’s a private matter. and i think that’s the way it ought to be. but i’m going to be respectful for people, i’ll tolerate people, and i support equal rights but not special rights for people. ",1,3,False,0.9027678966522217
70,92,GEORGE W. BUSH,"well, it would be if they’re given special protective status. that doesn’t mean we shouldn’t fully enforce laws and fully protect people and fully honor people, which i will do as the president of the united states. ",1,3,False,0.8476564288139343
71,97,GEORGE W. BUSH,safe.,1,3,False,0.020214293152093887
72,99,GORE,"a photo license i.d. like a driver’s license for new handguns and, you know, the los angeles — ",0,8,False,0.2510010004043579
73,100,GORE,correct. ,0,8,False,0.010265844874083996
74,102,GORE,.,0,8,False,0.09291471540927887
75,104,GEORGE W. BUSH,", we love you. so there’s a — this is a society that — of ours that’s got to do a better job of teaching children right from wrong. and we can enforce law. but there seems to be a lot of preoccupation on — not certainly only in this debate, but just in general on law. but there’s a larger law. love your neighbor like you would like to be loved yourself. and that’s where our society must head if we’re going to be a peaceful and prosperous society.",1,3,False,0.9970239996910095
76,121,GEORGE W. BUSH,"first of all, that’s simply not true what he just said, of course. and secondly, i repeat to you — ",1,3,False,0.05767785385251045
77,122,GEORGE W. BUSH,"that we spent — the top 1% receive 223 as opposed to 445 billion in new spending. the top — let’s talk about my tax plan. the top 1% will pay one-third of all the federal income taxes. and in return, get one-fifth of the benefits, because most of the tax reductions go to the people at the bottom end of the economic ladder. that stands in stark contrast, by the way, to a man who is going to leave 50 million — 50 million americans out of tax relief. we just have a different point of view. it’s a totally different point of view. he believes only the right people ought to get tax relief. i believe everybody who pays taxes ought to get tax relief. let me go back to texas, for example, for a minute. we pay 4.7 billion. i can’t emphasize to you how much. i signed a bill that puts chips in place. the bill finally came out at",1,3,False,0.997951090335846
78,123,GEORGE W. BUSH,"the end of the 1999 session. we’re working hard to sign up children. we’re doing it faster than any other state our size, comparable state. we’re making really good progress. and our state cares a lot about our children. my priority is going to be the health of our citizens. these folks have had eight years to get something done in washington, d.c. on the uninsured. they have not done it. they’ve had eight years to get something done on medicare. and they have not got it done. and my case to the american people is, if you’re happy with inactivity, stay with the horse. the horse is up here now. but if you want change, you need to get somebody that knows how to bring republicans and democrats together to get positive things done for america.",1,3,False,0.9934049248695374
79,126,GEORGE W. BUSH,"well, let me start with texas. we are a big industrial state. we reduced our industrial waste by 11%. we cleaned up more brown fields than any other administration in my state’s history, 450 of them. our water is cleaner now. ",1,3,False,0.9545606970787048
80,127,GEORGE W. BUSH,"a brown field is an abandoned industrial site that just sits idle in some of our urban centers. and people are willing to invest capital in the brown fields don’t want to do so for fear of lawsuit. i think we ought to have federal liability protection, depending upon whether or not standards have been met. the book you mentioned that vice president gore wrote, he also called for taxing — big energy taxes in order to clean up the environment. and now that the energy prices are high, i guess he’s not advocating those big energy taxes right now. i believe we ought to fully fund the land and water conservation fund to — with half the money going to states so states can make the right decisions for environmental quality. i think we need to have clean coal technologies. i propose $2 billion worth. by the way, i just found out the other day an interesting fact, that there is a national petroleum reserve right next to — in prudhoe bay that your administration",1,3,False,0.00032567730522714555
81,128,GEORGE W. BUSH,"opened up for exploration in that pristine area. and it was a smart move because there’s gas reserves up there. we need gas pipelines to bring the gas down. gas is a clean fuel that we can burn to — we need to make sure that if we decontrol our plants that there’s mandatory — that the plants must conform to clean air standards, the grandfathered plants, that’s what we did in texas. no excuses. you must conform. in other words, there are practical things we can do. but it starts with working in a collaborative effort with states and local folks. if you own the land, every day is earth day. people care a lot about their land and care about their environment. not all wisdom is in washington, d.c. on this issue.",1,3,False,0.988399863243103
82,130,GORE,i think it’s a fundamental difference. let me give you an example. ,0,8,False,0.006944610737264156
83,131,GORE,"okay, sure. ",0,8,False,0.8936360478401184
84,132,GEORGE W. BUSH,"well, i don’t believe in command and control out of washington, d.c. i believe washington ought to set standards, but again i think we ought to be collaborative at the local levels and i think we ought to work with people at the local levels. and by the way, i just want to make sure — i can’t let him just say something and not correct it. the electric decontrol bill that i fought for and signed in texas has mandatory emission standards, mr. vice president. that’s what we ought to do at the federal level when it comes to grandfathered plants for utilities. i think there’s a difference. i think, for example, take — when they took 40 million acres of land out of circulation without consulting local officials, i thought that was — ",1,3,False,0.9985449314117432
85,133,GEORGE W. BUSH,"out in the west, yeah. and so — on the logging issue. that’s not the way i would have done it. perhaps some of that land needs to be set aside. but i certainly would have consulted with governors and elected officials before i would have acted unilaterally. ",1,3,False,0.5039593577384949
86,134,GEORGE W. BUSH,"sure, absolutely, so long as they’re based upon science and they’re reasonable. so long as people have input. ",1,3,False,0.36900877952575684
87,136,GEORGE W. BUSH,99 to nothing. ,1,3,False,0.2778972089290619
88,138,GORE,"i didn’t turn away from the evidence that showed that we were doing some serious harm. in my faith tradition, it is — it’s written in the book of matthew, “where your heart is, there is your treasure also.” and i believe that — that we ought to recognize the value to our children and grandchildren of taking steps that preserve the environment in a way that’s good for them.",0,8,False,0.060154255479574203
89,140,GORE,i’ve been trying so hard not to. ,0,8,False,0.2709789574146271
90,141,GEORGE W. BUSH,twice. ,1,3,False,0.05238800495862961
91,142,GORE,"that’s an interruption, by the way. ",0,8,False,0.9805170893669128
92,143,GEORGE W. BUSH,"i’m sorry. i apologize, mr. vice president. ",1,3,False,0.996406614780426
93,144,GEORGE W. BUSH,"of course they care about them. oh, you mean the rules. ",1,3,False,0.9805198311805725
94,146,GEORGE W. BUSH,"well, we all make mistakes. i’ve been known to mangle a syl-a-ble or two myself, you know, if you know what i mean. i think credibility is important. it is going to be important for the president to be credible with congress, important for the president to be credible with foreign nations. and yes, i think it’s something that people need to consider. this isn’t something new. i read a report, or a memo, from somebody in his 1988 campaign — i forgot the fellow’s name — warning then senator gore to be careful about exaggerating claims. i thought during his debate with senator bradley saying he authored the eitc when it didn’t happen. i mention the last debate — ",1,3,False,0.998932421207428
95,148,GEORGE W. BUSH,"a lot of initials from a guy who’s not from washington, isn’t it? anyway, he co-sponsored mccain-feingold, and yet he didn’t. and so i think this is an issue. i found it to be an issue in trying to defend my tax relief package. i thought there was some exaggerations about the numbers. but the people are going to have to make up their mind on this issue. and i am going to continue to defend my record and defend my propositions against what i think are exaggerations. exaggerations like, for example, only 5% of seniors receive benefits under my medicare reform package. that’s what he said the other day, and that’s simply not the case. and i have every right in the world to defend my record and positions. that’s what debates are about and that’s what campaigns are about. ",1,3,False,0.00017707677034195513
